COUNTRY,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,470839745,6040.63515376302,12172274,156.164102556031,1244012,6092933,78.1692405115944,43353,0.556197004611598,14865
United States of America,Americas,79015226,23871.478,221310,66.86,8391,964473,291.379,3770,1.139,78
India,South-East Asia,43010971,3116.727,14909,1.08,1581,516543,37.431,569,0.041,33
Brazil,Americas,29630484,13939.859,261708,123.122,13218,657205,309.186,2127,1.001,103
France,Europe,23442023,36042.826,617343,949.184,24179,137929,212.07,782,1.202,152
The United Kingdom,Europe,20319438,29931.704,546407,804.889,48438,163679,241.109,407,0.6,5
Germany,Europe,18994411,22838.959,1561794,1877.908,222080,127193,152.937,1320,1.587,264
Russian Federation,Europe,17637795,12086.107,224876,154.094,26394,365373,250.368,3471,2.378,472
Turkey,Europe,14707959,17439.082,132781,157.437,14933,97347,115.423,727,0.862,80
Italy,Europe,13895188,23297.856,492283,825.404,33445,157904,264.755,907,1.521,119
Spain,Europe,11378784,24040.05,121170,255.997,15931,102053,215.608,522,1.103,67
Republic of Korea,Western Pacific,9936540,19381.116,2708006,5281.937,353980,13141,25.631,2253,4.394,384
Argentina,Americas,9011367,19938.517,35288,78.078,3614,127599,282.325,342,0.757,105
Viet Nam,Western Pacific,8089761,8310.95,1712323,1759.141,131713,41949,43.096,472,0.485,69
Netherlands,Europe,7543318,43333.512,326182,1873.792,31883,21796,125.21,83,0.477,3
Iran (Islamic Republic of),Eastern Mediterranean,7142289,8503.439,15383,18.315,1256,139662,166.278,599,0.713,52
Japan,Western Pacific,6131791,4848.168,323549,255.818,27701,27176,21.487,914,0.723,131
Colombia,Americas,6081131,11951.229,4312,8.474,542,139452,274.065,155,0.305,18
Indonesia,South-East Asia,5974646,2184.325,60114,21.978,7464,154062,56.325,1317,0.481,170
Poland,Europe,5905463,15557.831,68791,181.229,10159,114355,301.266,733,1.931,134
Mexico,Americas,5634829,4370.363,26984,20.929,901,322092,249.814,977,0.758,20
Ukraine,Europe,4941207,11298.382,28679,65.576,4442,107660,246.171,391,0.894,63
Malaysia,Western Pacific,4010952,12392.486,165351,510.879,17828,34463,106.479,564,1.743,63
Israel,Europe,3789629,43782.694,62426,721.226,14460,10431,120.512,15,0.173,0
Australia,Western Pacific,3756949,14733.2,544479,2135.221,39755,5736,22.494,145,0.569,6
Czechia,Europe,3750636,35072.54,53621,501.415,10423,39418,368.601,157,1.468,20
Belgium,Europe,3728945,32362.46,52950,459.538,10,30575,265.352,94,0.816,6
South Africa,Africa,3704784,6246.612,9609,16.202,566,99890,168.424,165,0.278,9
Philippines,Western Pacific,3674694,3353.402,3401,3.104,415,58276,53.181,651,0.594,13
